MCC,Description (Spanish),Categorization
3034,ETIHAD AIRWAYS - ETIHADAIR              ,7
3035,TAP AIR                                 ,7
3037,EGYPTAIR                                ,7
3038,KUWAIT AIR                              ,7
3039,AVIANCA                                 ,7
3040,GULF AIR                                ,7
3042,FINNAIR                                 ,7
3043,AER LINGUS                              ,7
3044,AIR LANKA                               ,7
3047,THY AIRLINE                             ,7
3048,AIR MAROC                               ,7
3049,TUNIS AIR                               ,7
3050,ICELANDAIR                              ,7
3051,AUSTRIAN AIR                            ,7
3052,LAN AIRLINES LANAIR                     ,7
3056,QUEBECAIRE                              ,7
3057,E/W AIRLINE                             ,7
3058,DELTA AIR                               ,7
3061,CONTINENTAL                             ,7
3063,USAIRWAYS                               ,7
3064,ADRIA AIRWAYS                           ,7
3066,SOUTHWESTAIR                            ,7
3068,AIR ASTANA - AIRSTANA                   ,7
3072,CEBU PAC (AG. VIAJE/TRANSP)             ,7
3075,SINGAPOREAIR                            ,7
3076,AEROMEXICO                              ,7
3077,THAI AIRWAYS                            ,7
3078,CHINA AIRLINE                           ,7
3079,JETSTAR AIRWAYS - JETSTAR               ,7
3082,KOREAN AIR                              ,7
3089,TRANSAERO                               ,7
3098,ASIANA AIRLINES - ASIANA                ,7
3099,CATHAYPACAIR                            ,7
3100,MALAY AIR                               ,7
3102,IBERIA                                  ,7
3103,GARUDA AIR                              ,7
3112,WINDWRDISAIR                            ,7
3127,TACA AIR                                ,7
3132,FRONTIER AIRLINES - FRONTIER            ,7
3136,QATAR AIRWAYS ( QATARAIR)               ,7
3144,VIRGINATLAIR                            ,7
3146,LUXAIR                                  ,7
3161,A.N.A. AIR                              ,7
3174,JETBLUE AIRWAYS                         ,7
3175,MIDEAST AIR                             ,7
3180,WESTJET AIRLINES                        ,7
3182,LOT AIR                                 ,7
3183,LONG ISLAND AIRLINES                    ,7
3184,LIAT AIRLINE                            ,7
3196,HAWAIIAN AIR                            ,7
3206,CHINA EASTERN AIRLINES - CHINAEAST      ,7
3211,NORWEGIAN AIR SCUTTLE - NOWEGIAN        ,7
3213,MALMO AVIATION-MALMO AV                 ,7
3217,CSA AIRLINE                             ,7
3219,COPA AIR                                ,7
3220,COMP FAU AIR                            ,7
3221,TAME AIRLINE                            ,7
3234,CARIBBEAN AIRLINES - CARIBBEAN          ,7
3236,AIR ARABIA AIRLINE-AIR ARAB             ,7
3245,EASYJET                                 ,7
3246,RYANAIR                                 ,7
3247,GOL AIRLINES - GOL                      ,7
3248,TAM AIRLINES - TAM                      ,7
3252,ALM AIRLINE                             ,7
3256,ALASKA AIR                              ,7
3260,SPIRIT AIRLINES-SPIRIT                  ,7
3261,AIR CHINA                               ,7
3266,AIR SEYCH                               ,7
3294,ETHIOPIAN AIR                           ,7
3295,KENYA AIR                               ,7
3296,AIR BERLIN                              ,7
3297,TAROM AIR                               ,7
3298,AIRMAURITIUS                            ,7
3300,AZUL AIR,7
3301,WIZZ AIR                                ,7
3351,AFFILIATED AUTO RENTAL                  ,7
3355,SIXT CAR RENTAL                         ,7
3357,HERTZ RENT-A-CAR                        ,7
3366,BUDGET RENT-A-CAR                       ,7
3381,EUROPCAR                                ,7
3386,SHOWCASE RENTAL CARS                    ,7
3387,ALAMO RENT-A-CAR                        ,7
3389,AVIS RENT-A-CAR                         ,7
3390,DOLLAR REN-A-CAR                        ,7
3393,NATIONAL CAR RENTAL                     ,7
3395,THRIFTY RENT-A-CAR                      ,7
3405,ENTERPRISE RENT-A-CARD                  ,7
3409,GENERAL RENT-A-CARD                     ,7
3412,A-1 RENT-A-CARD                         ,7
3441,ADVANTAGE RENT-A-CAR                    ,7
3501,HOLIDAY INN EXPRESS                     ,11
3502,BEST WESTERN HOTELS                     ,11
3503,SHERATON                                ,11
3504,HILTON                                  ,11
3506,GOLDEN TULIP HOTELS                     ,11
3508,QUALITY INNS                            ,11
3509,MARRIOTT                                ,11
3510,DAYS INNS                               ,11
3512,INTER-CONTINENTAL HOTELS                ,11
3513,WESTIN                                  ,11
3515,RODEWAY INNS                            ,11
3516,LA QUINTA MOTOR INNS                    ,11
3519,PULLMAN INTERNATIONAL HOTELS            ,11
3520,MERIDIEN HOTELS                         ,11
3524,WLCOMGROUP HOTELS                       ,11
3530,RENAISSANCE HOTELS                      ,11
3533,IBIS HOTELES                            ,11
3535,HILTON INTERNATIONALS                   ,11
3537,ANA HOTEL                               ,11
3543,FOUR SEASONS HOTELS                     ,11
3544,CIGA HOTELS                             ,11
3548,HOTELES MELIA                           ,11
3551,MIRAGE HOTEL AND CASINO                 ,11
3552,COAST HOTELS                            ,11
3555,TREASURE ISLAND HOTEL AND CASINO        ,11
3559,CANDLEWOOD SUITES                       ,11
3561,GOLDEN NUGGET                           ,11
3562,COMFORT INNS                            ,11
3565,RELAX INNS                              ,11
3577,MANDARIN ORIENTAL HOTEL                 ,11
3579,HOTEL MERCURE                           ,11
3583,SAS HOTELS                              ,11
3584,PRINCESS HOTELS INTERNATIONAL           ,11
3586,SOKOS HOTES                             ,11
3587,DORAL HOTELS                            ,11
3590,FAIRMONT HOTELS                         ,11
3592,OMNI HOTELS                             ,11
3595,HOSPITALITY INTERNATIONAL               ,11
3596,WYNN LAS VEGAS                          ,11
3602,HUDSON HOTEL                            ,11
3604,HILTON GARDEN INN                       ,11
3607,FONTAINEBLEAU RESORT                    ,11
3612,MOEVENPICK HOTELS                       ,11
3613,MICROTEL INN AND SUITES                 ,11
3614,AMERICINN                               ,11
3615,TRAVELODGE                              ,11
3617,AMERICA'S BEST VALUE INN                ,11
3619,ALOFT (HOTELES ALFOT)                   ,11
3625,HOTEL UNIVERSALE                        ,11
3631,SLEEP INN                               ,11
3635,RESO HOTELS                             ,11
3637,RAMADA INNS                             ,11
3638,HO JO INN - HOWARD JOHNSON              ,11
3640,HYATT HOTELS                            ,11
3641,SOFITEL HOTELS                          ,11
3642,NOVOTEL HOTELS                          ,11
3643,STEIGENBERGER HOTELS                    ,11
3644,ECONO LODGES                            ,11
3649,RADISSON HOTELS                         ,11
3650,RED ROOF INNS                           ,11
3653,PENTA HOTELS                            ,11
3654,LOEWS HOTELS                            ,11
3655,SCANDIC HOTELS                          ,11
3659,TAJ HOTEL INTERNATIONAL                 ,11
3660,KNIGHTS INN                             ,11
3661,METROPOLE HOTELS                        ,11
3662,CIRCUS CIRCUS HOTEL AND CASINO          ,11
3665,HAMPTON INNS                            ,11
3672,CAMPANILE HOTELS                        ,11
3676,MONTE CARLO HOTEL AND CASINO            ,11
3681,ADAMS MARK HOTELS                       ,11
3690,COURTYARD BY MARRIOTT                   ,11
3692,DOUBLETREE                              ,11
3694,ECONOMY INNS OF AMERICA                 ,11
3695,EMBASSY SUITES                          ,11
3700,MOTEL 6                                 ,11
3703,RESIDENCE INNS                          ,11
3709,SUPER8 MOTELS                           ,11
3710,"RITZ-CARLTON, THE                       ",11
3715,FAIRFIELD INN                           ,11
3716,CARLTON HOTELS                          ,11
3719,PROTEA HOTELS                           ,11
3721,HILTON CONRAD                           ,11
3722,WYNDHAM                                 ,11
3728,BALLY'S HOTEL AND CASINO                ,11
3730,MGM GRAND HOTEL                         ,11
3740,MARRIOTT/TOWN PLACE SUITES              ,11
3741,MILLENNIUM BROADWAY HOTEL               ,11
3750,CROWNE PLAZA HOTELS                     ,11
3751,HOMEWOOD SUITES                         ,11
3754,AMELIA ISLAND PLANTATION                ,11
3765,BELLAGIO                                ,11
3770,SPRINGHILL SUITES                       ,11
3771,CAESAR'S HOTEL AND CASINO               ,11
3772,NEMACOLIN WOODLANDS                     ,11
3777,MANDALAY BAY RESORT                     ,11
3778,FOUR POINTS HOTELS                      ,11
3779,W HOTELS                                ,11
3791,STAYBRIDGE SUITES                       ,11
3793,THE FLAMINGO HOTELS                     ,11
3811,PREMIER INN                             ,11
3812,HYATT PLACE                             ,11
3813,HOTEL INDIGO                            ,11
3816,HOME2 SUITES BY HILTON                  ,11
3819,OXFORD SUITES                           ,11
3826,AUTOGRAPH,11
3829,COUNTRY INN BY CARLSON                  ,11
4011,FERROCARRILES                           ,7
4012,RENFE                                   ,7
4013,GRUPO ACCOR/WAGONS LITS                 ,9
4014,ADIF                                    ,7
4111,"TRANSPORTE PASAJEROS CERCANIAS,URB,FERRY",7
4112,PASAJEROS DE FERROCARRILES              ,7
4119,SERVICIOS DE AMBULANCIAS                ,6
4121,SERVICIO DE TAXIS Y LIMUSINAS           ,7
4131,LINEAS DE AUTOBUSES                     ,7
4132,VENTAS A BORDO (MAR)                    ,non-categorizable
4133,TRANSPORTE URBANO (MENOS METRO          ,7
4214,"TRASPOTE MUDANZAS,ALMACENAMIENTOS,DEPOSI",7
4215,GLOVO,11
4225,"ALMACNAMIENTO PUBLICO:REFRIGERADO,GRANJA",7
4411,TRANSPORTE VIAJERO MARITIMO             ,7
4457,ALQUILER EMBARCACIONES DE RECREO        ,7
4468,PUERTOS DEPORTIVOS Y ABASTECIMIENTOS    ,7
4511,LINEAS AEREAS                           ,7
4582,APARCAMIENTOS AEROPUERTOS Y MANTEN. AERO,7
4722,AGENCIAS DE VIAJES Y TOUR OPERADORES    ,9
4723,PAQUETE TOUR OPERADORES(SOLO ALEMANIA)  ,9
4784,AUTOPISTAS                              ,7
4785,AUTOPISTAS Y COMPRA BONOS AUT           ,7
4786,AUTOPISTAS ABERTIS                      ,7
4788,AUTOPISTAS PORTUGAL                     ,7
4789,CONSIGNAS AUTOMATICAS                   ,7
4811,TELEFONICA SERVICIOS                    ,8
4812,"SERVICIOS TELECOMUNICACION, VENTAS TELEF",8
4813,LOCUTORIOS TELEFONICOS                  ,8
4814,VENTA DE EQUIPOS TELEFONICOS            ,8
4815,TELEFONICA VENTA EQUIPOS                ,8
4816,COMERCIO ELECTRONICO/INFORMACION SERVICI,8
4817,MOVISTAR VENTA EQUIPOS                  ,8
4818,VODAFONE VENTA EQUIPOS                  ,8
4819,ORANGE VENTA EQUIPOS                    ,8
4821,TELEGRAFOS                              ,8
4829,TRANSFERENCIAS Y ORDENES DE PAGO        ,non-consumption
4899,SERVICIOS POR CABLE                     ,9
4900,"SERVICIOS: ELECTRICIDAD,GAS,CALEFACCION ",4
5013,RECAMBIOS DE AUTOMOVILES                ,7
5021,MUEBLES COMERCIALES Y DE OFICINA        ,5
5039,MATERIALES DE CONSTRUCCION SIN CLASIFICA,4
5044,"EQUIPOS OFICINA,FOTOGRAFICO,FOTOCOPIA,MI",9
5045,"ORDENADORES,EQUIPOS PERIFE. Y SOFTWARE  ",9
5046,EQUIPAMIENTO COMERCIAL SIN CLASIFICAR   ,non-categorizable
5047,"EQUIPOS LABORATORIO,MEDICOS.DENTAL, ETC ",6
5051,SERVICIOS METAL                         ,non-consumption
5065,EQUIPAMIENTOS Y PIEZAS ELECTRICAS       ,non-consumption
5072,EQUIPOS Y PIEZAS DE HARDWARE            ,non-consumption
5074,EQUIPO Y PIEZAS DE FONTAN. Y CALEFACCION,non-consumption
5085,EQUIPOS INDUSTRIALES SIN CLASIFICAR     ,non-consumption
5094,JOYERIA Y PIEDRAS PRECIOSAS             ,12
5099,MERCANCIAS DURADERAS SIN CLASIFICAR     ,non-categorizable
5111,"PAPELERIA, MATERIAL DE OFICINA          ",9
5122,DROGUERIA Y VARIOS                      ,6
5131,"PIECE GOODS,NOTIONS AND DRY GOODS       ",3
5137,UNIFORMES COMERCIALES                   ,3
5139,ZAPATERIA                               ,3
5169,PRODUCTOS QUIMICOS NO CLASIFICADOS      ,non-consumption
5172,PETROLEO Y DERIVADOS                    ,non-consumption
5192,"LIBROS, PERIODICOS Y REVISTAS           ",9
5193,"FLORISTERIA , INVERNADEROS              ",9
5198,"PINTURAS, BARNICES, ACCESORIOS          ",building
5199,MERCANCIAS NO DURADERAS SIN CLASIFICAR  ,non-categorizable
5200,MENAGE DE HOGAS                         ,5
5211,MATERIALES DE CONSTRUCCION DE MADERAS   ,building
5231,ESTABLECIMIENTOS DE PAPELES PINTADOS    ,building
5251,FERRETERIA Y BRICOLAGE                  ,building
5261,VIVEROS Y SUMINISTROS DE JARDINERIA     ,5
5271,MUDANZAS                                ,7
5300,VENTA AL POR MAYOR                      ,non-categorizable
5309,TIENDAS DUTY FREE (LIBRE DE IMPUESTOS)  ,non-categorizable
5310,ECONOMATOS                              ,supermarket
5311,GRANDES ALMACENES                       ,supercenter
5313,GRAND.SUPERF.JUGUE-ART DEPOR(L          ,sporting
5314,AKI BRICOBI                             ,building
5331,"ALIMENTACION: SUPERMER.,ULTRAMA.ECONOMA.",supermarket
5333,HIPERMERCADOS Y CADENAS SUPERMER.       ,supermarket
5335,ALCAMPO                                 ,supercenter
5338,HIPERCOR SUPERMERCADOS                  ,supercenter
5350,VENTAS A DOMICILIO                      ,non-categorizable
5399,ESTABLECIMIENTOS DE MERCANCIAS DIVERSAS ,non-categorizable
5411,FRUTERIAS Y SUPERMERCADOS               ,supermarket
5422,MAKRO                                   ,1
5441,GRUPO ZARA                              ,3
5451,ESTABLECIMIENTOS DE PRODUCTOS FRESCOS   ,1
5462,PANADERIAS                              ,1
5499,"ALIMENTACION:SUPERMERC.,ULTRAMA.,ECONOMA",supermarket
5511,SERVICIO VENTA RECAMBIO AUTOMOVILES     ,7
5521,VENTA AUTOMOVILES Y CAMIONES USADOS     ,7
5531,MENAJE DEL HOGAR                        ,5
5532,ESTABLECIMIENTOS DE NEUMATICOS          ,7
