MCC,noga4,noga3,noga2,our_code,our_category,Description,General Merchant Category Codes,Valid Payment Brand(s)
5999,4778,477,47,OR,Retail: Other goods,Miscellaneous and Specialty Retail Stores,Miscellaneous Stores,"V, M"
5998,4752;5530,475,47,OR,Retail: Other goods,Tent and Awning Shops,Miscellaneous Stores,"V, M"
5997,4754,475,47,OR,Retail: Other goods,Electric Razor Stores–Sales and Service,Miscellaneous Stores,"V, M"
5996,4764;3230,476,47,OR,Retail: Other goods,Swimming Pools–Sales and Supplies,Miscellaneous Stores,"V, M"
5995,4776,477,47,OR,Retail: Other goods,"Pet Shops, Pet Food and Supplies",Miscellaneous Stores,"V, M"
5994,4762,476,47,OR,Retail: Other goods,News Dealers and Newsstands,Miscellaneous Stores,"V, M"
5993,4711;4726,471,47,FBT,"Retail: Food, beverage, tobacco",Cigar Stores and Stands,Miscellaneous Stores,"V, M"
5992,4776,477,47,OR,Retail: Other goods,Florists,Miscellaneous Stores,"V, M"
5983,4778,477,47,OR,Retail: Other goods,"Fuel Dealers–Coal, Fuel Oil, Liquefied Petroleum,
Wood",Miscellaneous Stores,"V, M"
5978,7733;4762,773,77,OR,Retail: Other goods,"Typewriter Stores–Rentals, Sales, Service",Miscellaneous Stores,"V, M"
5977,4775,477,47,OR,Retail: Other goods,Cosmetic Stores,Miscellaneous Stores,"V, M"
5976,4774,477,47,OR,Retail: Other goods,Orthopedic Goods–Artificial Limb Stores,Miscellaneous Stores,"V, M"
5975,4778,477,47,OR,Retail: Other goods,"Hearing Aids–Sales, Service, Supply Stores",Miscellaneous Stores,"V, M"
5974,4778,477,47,OR,Retail: Other goods,Rubber Stamp Store,Miscellaneous Stores,TSYS
5973,4778,477,47,OR,Retail: Other goods,Religious Goods Stores,Miscellaneous Stores,"V, M"
5972,4778,477,47,OR,Retail: Other goods,"Stamp and Coin Stores–Philatelic and Numismatic
Supplies",Miscellaneous Stores,"V, M"
5971,4778,477,47,OR,Retail: Other goods,Art Dealers and Galleries,Miscellaneous Stores,"V, M"
5970,4778,477,47,OR,Retail: Other goods,"Artist Supply Stores, Craft Shops",Miscellaneous Stores,"V, M"
5969,4799,479,47,OR,Retail: Other goods,"Direct Marketing–Other Direct Marketers–Not
Elsewhere Classified",Miscellaneous Stores,"V, M"
5968,4799,479,47,OR,Retail: Other goods,Direct Marketing–Continuity/Subscription Merchants,Miscellaneous Stores,"V, M"
5967,4791,479,47,OR,Retail: Other goods,Direct Marketing–Inbound Telemarketing Merchants,Miscellaneous Stores,"V, M"
5966,4791,479,47,OR,Retail: Other goods,Direct Marketing–Outbound Telemarketing Merchants,Miscellaneous Stores,"V, M"
5965,4799,479,47,OR,Retail: Other goods,"Direct Marketing–Combination Catalog and Retail
Merchant",Miscellaneous Stores,"V, M"
5964,4799,479,47,OR,Retail: Other goods,Direct Marketing–Catalog Merchants,Miscellaneous Stores,"V, M"
5963,4799,479,47,OR,Retail: Other goods,Door-to-Door Sales,Miscellaneous Stores,"V, M"
5961,4791,479,47,OR,Retail: Other goods,Mail Order Houses Including Catalog Order Stores,Miscellaneous Stores,TSYS
5960,4791,479,47,OR,Retail: Other goods,Direct Marketing Insurance Services,Miscellaneous Stores,"V, M"
5950,4759;4644,475,47,OR,Retail: Other goods,Crystal and Glassware Stores,Miscellaneous Stores,"V, M"
5949,4664;4751,466,46,OR,Retail: Other goods,"Fabric, Needlework, Piece Goods and Sewing Stores",Miscellaneous Stores,"V, M"
5948,4772;4649,477,47,OR,Retail: Other goods,Leather Goods and Luggage Stores,Miscellaneous Stores,"V, M"
5947,4649;4778,464,46,OR,Retail: Other goods,"Card, Gift, Novelty and Souvenir Shops",Miscellaneous Stores,"V, M"
5946,4778;4643,477,47,OR,Retail: Other goods,Camera and Photographic Supply Stores,Miscellaneous Stores,"V, M"
5945,4765;4649,476,47,OR,Retail: Other goods,"Game, Toy and Hobby Shops",Miscellaneous Stores,"V, M"
5944,4777;4648,477,47,OR,Retail: Other goods,"Clock, Jewelry, Watch and Silverware Stores",Miscellaneous Stores,"V, M"
5943,4762;4649,476,47,OR,Retail: Other goods,"Office, School Supply and Stationery Stores",Miscellaneous Stores,"V, M"
5942,4761;4649,476,47,OR,Retail: Other goods,Book Stores,Miscellaneous Stores,"V, M"
5941,4642;4649;4764,464,46,OR,Retail: Other goods,Sporting Goods Stores,Miscellaneous Stores,"V, M"
